Label,Category,IPC,Instructions,Cycles,Time_s,Score,Method
EP,Compute Bound,0.2966,2091494568,7051840628,141.03681256,0.12,Reported
IS,Memory Bound,0.2144,7563104,35267690,0.7053538,0.9291223780179536,Recalculated
CG,Memory Bound,0.168,355640156,2117107268,42.34214536,0.78,Reported
MG,Memory Bound,0.1926,33926533,176124045,3.5224809,1.07,Reported
FT,Mixed / Streaming,0.1598,586395665,3670402373,73.40804746,1.19,Reported
BT,Mixed / Streaming,0.2096,549479226,2621152419,52.42304838,2.16,Reported
SP,Mixed / Streaming,0.1819,357024090,1962313810,39.2462762,1.22,Reported
LU,Mixed / Streaming,0.2304,200137752,868497471,17.36994942,2.91,Reported

|   | Label | Category          | IPC      | Instructions | Cycles     | Time_s     | Score    | Method       |
