config,suite,name,score,units,instructions,cycles,ipc
baseline,NPB,EP,0.13,Mop/s,2075440791,6367749441,0.3259
baseline,NPB,IS,0.56,Mop/s,7465100,26681715,0.2798
baseline,NPB,CG,1.01,Mop/s,343266926,1629723750,0.2106
baseline,NPB,MG,1.3,Mop/s,33301104,140371674,0.2372
baseline,NPB,FT,1.42,Mop/s,572676200,3091177955,0.1853
baseline,NPB,BT,2.44,Mop/s,542362251,2313929421,0.2344
baseline,NPB,SP,1.47,Mop/s,349440825,1629860614,0.2144
baseline,NPB,LU,3.43,Mop/s,197227670,737454082,0.2674
baseline,UnixBench,Arithmetic_Overhead,24864990.0,lps,105199696,248322358,0.4236
baseline,UnixBench,Arithmetic_Register,722836.0,lps,153937482,248215135,0.6202
baseline,UnixBench,Arithmetic_Short,722084.0,lps,153767107,248320465,0.6192
baseline,UnixBench,Arithmetic_Int,724244.0,lps,154204627,248364522,0.6209
baseline,UnixBench,Dhrystone,304131.0,lps,94775314,192256152,0.493
baseline,UnixBench,Arithmetic_Double,723219.0,lps,154006563,248050949,0.6209
baseline,UnixBench,Whetstone,21.632,MWIPS,113705584,251406160,0.4523
baseline,UnixBench,Syscall_Mix,29805.0,lps,55087144,247887544,0.2222
baseline,UnixBench,Syscall_GetPID,230784.0,lps,61792318,246606479,0.2506
baseline,UnixBench,Syscall_Exec,26.0,lps,2856043,19691498,0.145
baseline,UnixBench,Pipe_Throughput,16451.0,lps,59152659,248087964,0.2384
baseline,UnixBench,Context_Switching,1558.0,lps,19173171,115903461,0.1654
