IC,ICw,DC,DCw,BTB,BHT,RAS,SoC_Total_LUT,Uncore_LUT,S1_Fetch_LUT,S2_Decode_LUT,S3_Issue_Net_LUT,S4_Execute_Net_LUT,S5_Memory_Total_LUT,S6_Commit_LUT,Sum_Stages_LUT,Remainder_LUT,SoC_Total_FF,Uncore_FF,S1_Fetch_FF,S2_Decode_FF,S3_Issue_Net_FF,S4_Execute_Net_FF,S5_Memory_Total_FF,S6_Commit_FF,Sum_Stages_FF,Remainder_FF,SoC_Total_BRAM,Uncore_BRAM,S1_Fetch_BRAM,S2_Decode_BRAM,S3_Issue_Net_BRAM,S4_Execute_Net_BRAM,S5_Memory_Total_BRAM,S6_Commit_BRAM,Sum_Stages_BRAM,Remainder_BRAM,SoC_Total_DSP,Uncore_DSP,S1_Fetch_DSP,S2_Decode_DSP,S3_Issue_Net_DSP,S4_Execute_Net_DSP,S5_Memory_Total_DSP,S6_Commit_DSP,Sum_Stages_DSP,Remainder_DSP
2k,4w,4k,4w,16,16,2,47695,5155,2785,671,11229,10492,12060,2781,40018,2522,22320,4921,845,370,3354,2368,5514,2864,15315,2084,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
2k,4w,2k,4w,16,16,2,47714,5161,2781,673,11228,10490,12074,2782,40028,2525,22317,4921,845,370,3354,2368,5512,2864,15313,2083,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,128k,4w,16,16,2,47762,5159,2784,673,11230,10484,12101,2780,40052,2551,22336,4921,845,370,3355,2368,5524,2865,15327,2088,60,4,12,0,0,0,44,0,56,0,27,0,0,0,0,27,0,0,27,0
4k,4w,16k,4w,16,16,2,47723,5162,2784,671,11229,10486,12100,2780,40050,2511,22325,4921,845,370,3353,2368,5518,2863,15317,2087,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,128,4w,16,16,2,48401,5163,2784,673,11234,10480,12769,2783,40723,2515,23025,4921,845,370,3354,2368,6224,2863,16024,2080,16,4,12,0,0,0,12,0,24,-12,27,0,0,0,0,27,0,0,27,0
4k,2w,4k,2w,16,16,2,47255,5158,2685,672,11234,10484,11973,2783,39831,2266,22298,4921,843,370,3355,2368,5492,2865,15293,2084,16,4,6,0,0,0,6,0,12,0,27,0,0,0,0,27,0,0,27,0
4k,1w,4k,1w,16,16,2,46843,5158,2562,677,11156,10232,11872,2652,39151,2534,22293,4921,842,370,3356,2373,5483,2865,15289,2083,10,4,3,0,0,0,3,0,6,0,27,0,0,0,0,27,0,0,27,0
4k,16w,4k,16w,16,16,2,50890,5156,3307,671,11226,10483,14555,2787,43029,2705,22467,4921,863,370,3353,2368,5646,2863,15463,2083,100,4,48,0,0,0,48,0,96,0,27,0,0,0,0,27,0,0,27,0
4k,4w,1k,4w,16,16,2,47686,5157,2782,673,11229,10484,12063,2784,40015,2514,22313,4921,845,370,3353,2368,5510,2863,15309,2083,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16384,16,2,47635,5158,2693,675,11282,10477,12051,2783,39961,2516,22216,4921,741,370,3354,2368,5514,2863,15210,2085,60,4,44,0,0,0,12,0,56,0,27,0,0,0,0,27,0,0,27,0
