IC,ICw,DC,DCw,BTB,BHT,RAS,SoC_Total_LUT,SoC_Total_FF,SoC_Total_BRAM,SoC_Total_DSP,S1_Fetch_LUT,S2_Decode_LUT,S3_Issue_Net_LUT,S4_Execute_Net_LUT,S5_Memory_Total_LUT,S6_Commit_LUT,Sum_Stages_LUT,Delta_LUT,S1_Fetch_FF,S2_Decode_FF,S3_Issue_Net_FF,S4_Execute_Net_FF,S5_Memory_Total_FF,S6_Commit_FF,Sum_Stages_FF,Delta_FF,S1_Fetch_BRAM,S2_Decode_BRAM,S3_Issue_Net_BRAM,S4_Execute_Net_BRAM,S5_Memory_Total_BRAM,S6_Commit_BRAM,Sum_Stages_BRAM,Delta_BRAM,S1_Fetch_DSP,S2_Decode_DSP,S3_Issue_Net_DSP,S4_Execute_Net_DSP,S5_Memory_Total_DSP,S6_Commit_DSP,Sum_Stages_DSP,Delta_DSP
2k,4w,4k,4w,16,16,2,47695,22320,28,27,2785,671,11229,10492,15576,2781,43534,4161,845,370,3354,2368,7557,2864,17358,4962,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
2k,4w,2k,4w,16,16,2,47714,22317,28,27,2781,673,11228,10490,15590,2782,43544,4170,845,370,3354,2368,7555,2864,17356,4961,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,16k,4w,16,16,2,47723,22325,28,27,2784,671,11229,10486,15611,2780,43561,4162,845,370,3353,2368,7561,2863,17360,4965,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,256k,4w,16,16,2,48199,22339,104,27,2781,673,11227,10490,16059,2785,44015,4184,845,370,3355,2368,7569,2865,17372,4967,12,0,0,0,88,0,100,4,0,0,0,27,0,0,27,0
4k,4w,128k,4w,16,16,2,47762,22336,60,27,2784,673,11230,10484,15613,2780,43564,4198,845,370,3355,2368,7567,2865,17370,4966,12,0,0,0,44,0,56,4,0,0,0,27,0,0,27,0
4k,2w,4k,2w,16,16,2,47255,22298,16,27,2685,672,11234,10484,15489,2783,43347,3908,843,370,3355,2368,7535,2865,17336,4962,6,0,0,0,6,0,12,4,0,0,0,27,0,0,27,0
4k,1w,4k,1w,16,16,2,46843,22293,10,27,2562,677,11156,10232,15385,2652,42664,4179,842,370,3356,2373,7526,2865,17332,4961,3,0,0,0,3,0,6,4,0,0,0,27,0,0,27,0
4k,16w,4k,16w,16,16,2,50890,22467,100,27,3307,671,11226,10483,18309,2787,46783,4107,863,370,3353,2368,7689,2863,17506,4961,48,0,0,0,48,0,96,4,0,0,0,27,0,0,27,0
4k,4w,2k,4w,16,16,2,47708,22316,28,27,2781,671,11235,10488,15591,2782,43548,4160,845,370,3353,2368,7555,2863,17354,4962,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,16384,2,50379,22322,28,27,5087,674,11639,10480,15565,2787,46232,4147,843,370,3358,2368,7557,2865,17361,4961,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,128,2,47682,22319,28,27,2783,673,11237,10480,15561,2783,43517,4165,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,1024,2,47808,22319,28,27,2890,673,11243,10486,15573,2779,43644,4164,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16384,16,2,47635,22216,60,27,2693,675,11282,10477,15563,2783,43473,4162,741,370,3354,2368,7557,2863,17253,4963,44,0,0,0,12,0,56,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,128,16,2,47600,22190,30,27,2695,673,11240,10487,15569,2783,43447,4153,715,370,3353,2368,7557,2863,17226,4964,14,0,0,0,12,0,26,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,1024,16,2,47606,22190,30,27,2693,674,11239,10485,15565,2784,43440,4166,715,370,3353,2368,7557,2863,17226,4964,14,0,0,0,12,0,26,4,0,0,0,27,0,0,27,0
4k,4w,32k,4w,16,16,2,47722,22328,28,27,2782,672,11227,10487,15595,2783,43546,4176,845,370,3353,2368,7563,2863,17362,4966,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,2048,2,48022,22319,28,27,3065,672,11276,10486,15567,2783,43849,4173,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,256,2,47719,22321,28,27,2808,673,11238,10488,15567,2782,43556,4163,845,370,3355,2368,7557,2864,17359,4962,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,32,2,47691,22319,28,27,2781,671,11233,10493,15574,2783,43535,4156,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,4096,2,48363,22319,28,27,3365,673,11323,10487,15572,2781,44201,4162,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,512,2,47729,22319,28,27,2816,672,11245,10484,15577,2782,43576,4153,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,64,2,47678,22319,28,27,2784,673,11232,10483,15567,2780,43519,4159,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,8192,2,48994,22320,28,27,3943,674,11398,10485,15556,2782,44838,4156,845,370,3354,2368,7557,2863,17357,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,16,2,47683,22319,28,27,2782,673,11230,10484,15572,2782,43523,4160,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,2048,16,2,47595,22189,32,27,2694,671,11241,10480,15564,2782,43432,4163,715,370,3353,2368,7557,2863,17226,4963,16,0,0,0,12,0,28,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,8192,16,2,47612,22189,42,27,2694,673,11246,10485,15567,2781,43446,4166,715,370,3353,2368,7557,2863,17226,4963,26,0,0,0,12,0,38,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,64,16,2,47598,22190,30,27,2693,674,11230,10486,15568,2781,43432,4166,715,370,3353,2368,7557,2863,17226,4964,14,0,0,0,12,0,26,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,512,16,2,47594,22190,30,27,2693,673,11235,10489,15558,2781,43429,4165,715,370,3353,2368,7557,2863,17226,4964,14,0,0,0,12,0,26,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,4096,16,2,47594,22189,36,27,2692,673,11238,10484,15559,2783,43429,4165,715,370,3353,2368,7557,2863,17226,4963,20,0,0,0,12,0,32,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,32,16,2,47581,22190,30,27,2690,672,11232,10483,15564,2782,43423,4158,715,370,3353,2368,7557,2863,17226,4964,14,0,0,0,12,0,26,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,32768,16,2,47935,22240,92,27,2695,672,11578,10488,15557,2785,43775,4160,766,370,3353,2368,7557,2863,17277,4963,76,0,0,0,12,0,88,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,256,16,2,47597,22190,30,27,2693,671,11237,10484,15568,2783,43436,4161,715,370,3353,2368,7557,2863,17226,4964,14,0,0,0,12,0,26,4,0,0,0,27,0,0,27,0
4k,4w,64k,4w,16,16,2,47743,22331,40,27,2783,672,11237,10486,15617,2782,43577,4166,845,370,3353,2368,7565,2863,17364,4967,12,0,0,0,24,0,36,4,0,0,0,27,0,0,27,0
4k,4w,8k,4w,16,16,2,47705,22325,28,27,2784,673,11233,10487,15575,2785,43537,4168,845,370,3356,2368,7559,2865,17363,4962,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
4k,8w,4k,8w,16,16,2,48535,22370,52,27,3084,674,11236,10493,15973,2791,44251,4284,851,370,3356,2368,7600,2865,17410,4960,24,0,0,0,24,0,48,4,0,0,0,27,0,0,27,0
4k,4w,4k,4w,8,16,2,47690,22319,28,27,2781,673,11234,10494,15562,2784,43528,4162,845,370,3353,2368,7557,2863,17356,4963,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
8k,4w,8k,4w,16,16,2,47687,22322,28,27,2779,671,11228,10487,15580,2781,43526,4161,845,370,3353,2368,7559,2863,17358,4964,12,0,0,0,12,0,24,4,0,0,0,27,0,0,27,0
