IC,ICw,DC,DCw,BTB,BHT,RAS,SoC_Total_LUT,CPU_Core_LUT,Northbridge_LUT,Peripherals_Subsystem_LUT,SPI_Controller_LUT,UART_LUT,Memory_Interconnect_LUT,CLINT_LUT,BootROM_LUT,Uncore_Total_LUT,Glue_Logic_LUT,SoC_Total_FF,CPU_Core_FF,Northbridge_FF,Peripherals_Subsystem_FF,SPI_Controller_FF,UART_FF,Memory_Interconnect_FF,CLINT_FF,BootROM_FF,Uncore_Total_FF,Glue_Logic_FF,SoC_Total_BRAM,CPU_Core_BRAM,Northbridge_BRAM,Peripherals_Subsystem_BRAM,SPI_Controller_BRAM,UART_BRAM,Memory_Interconnect_BRAM,CLINT_BRAM,BootROM_BRAM,Uncore_Total_BRAM,Glue_Logic_BRAM,SoC_Total_DSP,CPU_Core_DSP,Northbridge_DSP,Peripherals_Subsystem_DSP,SPI_Controller_DSP,UART_DSP,Memory_Interconnect_DSP,CLINT_DSP,BootROM_DSP,Uncore_Total_DSP,Glue_Logic_DSP
2k,4w,4k,4w,16,16,2,47695,40018,3641,1875,560,345,361,183,65,7030,647,22320,15315,3340,1516,683,305,432,151,10,6437,568,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
2k,4w,2k,4w,16,16,2,47714,40028,3644,1868,561,346,362,183,65,7029,657,22317,15313,3340,1516,683,305,432,151,10,6437,567,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,128k,4w,16,16,2,47762,40052,3642,1869,560,346,363,183,65,7028,682,22336,15327,3340,1516,683,305,432,151,10,6437,572,60,56,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,16k,4w,16,16,2,47723,40050,3646,1868,561,346,361,183,65,7030,643,22325,15317,3340,1516,683,305,432,151,10,6437,571,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,128,4w,16,16,2,48401,40723,3645,1865,561,346,363,183,65,7028,650,23025,16024,3340,1516,683,305,432,151,10,6437,564,16,24,2,0,0,0,0,0,2,4,-12,27,27,0,0,0,0,0,0,0,0,0
4k,2w,4k,2w,16,16,2,47255,39831,3641,1872,560,346,363,183,65,7030,394,22298,15293,3340,1516,683,305,432,151,10,6437,568,16,12,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,1w,4k,1w,16,16,2,46843,39151,3642,1871,560,346,362,183,65,7029,663,22293,15289,3340,1516,683,305,432,151,10,6437,567,10,6,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,16w,4k,16w,16,16,2,50890,43029,3640,1868,560,346,362,183,65,7024,837,22467,15463,3340,1516,683,305,432,151,10,6437,567,100,96,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,1k,4w,16,16,2,47686,40015,3640,1868,560,346,363,183,65,7025,646,22313,15309,3340,1516,683,305,432,151,10,6437,567,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16384,16,2,47635,39961,3642,1874,561,346,361,183,65,7032,642,22216,15210,3340,1516,683,305,432,151,10,6437,569,60,56,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,128,16,2,47600,39934,3638,1868,560,346,361,183,65,7021,645,22190,15183,3340,1516,683,305,432,151,10,6437,570,30,26,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,1024,16,2,47606,39929,3644,1867,559,346,362,183,65,7026,651,22190,15183,3340,1516,683,305,432,151,10,6437,570,30,26,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,32k,4w,16,16,2,47722,40036,3639,1871,561,346,362,183,65,7027,659,22328,15319,3340,1516,683,305,432,151,10,6437,572,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,2k,4w,16,16,2,47708,40036,3640,1868,559,346,362,183,65,7023,649,22316,15311,3340,1516,683,305,432,151,10,6437,568,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,256k,4w,16,16,2,48199,40504,3641,1870,559,346,363,183,65,7027,668,22339,15329,3340,1516,683,305,432,151,10,6437,573,104,100,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,256,4w,16,16,2,48433,40761,3644,1872,559,346,361,183,65,7030,642,23025,16025,3340,1516,683,305,432,151,10,6437,563,16,24,2,0,0,0,0,0,2,4,-12,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16,128,2,47682,40008,3641,1871,561,346,363,183,65,7030,644,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16,16384,2,50379,42720,3641,1870,558,346,362,183,65,7025,634,22322,15318,3340,1516,683,305,432,151,10,6437,567,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16,16,2,47683,40009,3643,1866,560,346,362,183,65,7025,649,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16,2048,2,48022,40339,3644,1873,561,346,362,183,65,7034,649,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
