Bitstream,NPB_File,UnixBench_File
ariane_IC16k_4w_128L_DC16k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_114105.txt,unixbench_20260204_115635.txt
ariane_IC2k_4w_128L_DC2k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_121119.txt,unixbench_20260204_123055.txt
ariane_IC4k_16w_128L_DC4k_16w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_130617.txt,unixbench_20260204_132403.txt
ariane_IC4k_1w_128L_DC4k_1w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_134006.txt,unixbench_20260204_140625.txt
ariane_IC4k_2w_128L_DC4k_2w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_142220.txt,unixbench_20260204_144022.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB128_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_145518.txt,unixbench_20260204_151312.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT1024_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_152757.txt,unixbench_20260204_154514.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT128_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_155946.txt,unixbench_20260204_161714.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT16384_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_163152.txt,unixbench_20260204_164906.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_170336.txt,unixbench_20260204_172127.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT256_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_173610.txt,unixbench_20260204_175331.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT32_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_180811.txt,unixbench_20260204_182550.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT512_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_184029.txt,unixbench_20260204_185756.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT64_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_191242.txt,unixbench_20260204_193015.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB256_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_194458.txt,unixbench_20260204_200248.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB32768_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_201733.txt,unixbench_20260204_203518.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB32_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_205002.txt,unixbench_20260204_210758.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB512_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_212244.txt,unixbench_20260204_214028.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB64_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_215512.txt,unixbench_20260204_221306.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB8_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_222753.txt,unixbench_20260204_224547.txt
ariane_IC4k_8w_128L_DC4k_8w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_230027.txt,unixbench_20260204_231821.txt
ariane_IC8k_4w_128L_DC8k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260204_233258.txt,unixbench_20260204_234937.txt
ariane_IC128k_4w_128L_DC128k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
