config,suite,name,score,units,instructions,cycles,ipc
BHT1024,NPB,EP,0.12,Mop/s,2083086837,6686259293,0.3115
BHT1024,NPB,IS,0,-,0,0,0
BHT1024,NPB,CG,0.79,Mop/s,354959398,2088015500,0.1700
BHT1024,NPB,MG,1.09,Mop/s,33881788,173108951,0.1957
BHT1024,NPB,FT,1.21,Mop/s,585288416,3623235835,0.1615
BHT1024,NPB,BT,2.19,Mop/s,548574080,2585581299,0.2122
BHT1024,NPB,SP,1.24,Mop/s,356314346,1933883462,0.1842
BHT1024,NPB,LU,2.95,Mop/s,199928673,857261990,0.2332
BHT1024,UnixBench,Arithmetic_Overhead,22972311,lps,97603138,247892939,0.3937
BHT1024,UnixBench,Arithmetic_Register,667848,lps,142645177,247691198,0.5759
BHT1024,UnixBench,Arithmetic_Short,667996,lps,142671491,247675986,0.5760
BHT1024,UnixBench,Arithmetic_Int,668008,lps,142674088,247704698,0.5760
BHT1024,UnixBench,Dhrystone,269504,lps,84371660,185656029,0.4545
BHT1024,UnixBench,Arithmetic_Double,668196,lps,142709897,247727447,0.5761
BHT1024,UnixBench,Whetstone,21.302,MWIPS,113823864,255479254,0.4455
BHT1024,UnixBench,Syscall_Mix,24304,lps,45979823,247597814,0.1857
BHT1024,UnixBench,Syscall_GetPID,212089,lps,57233754,245800755,0.2328
BHT1024,UnixBench,Syscall_Exec,21,lps,2494803,20394793,0.1223
BHT1024,UnixBench,Pipe_Throughput,9864,lps,38026691,247612529,0.1536
BHT1024,UnixBench,Context_Switching,964,lps,14160980,116513083,0.1215
BHT128,NPB,EP,0.12,Mop/s,2083646662,6720013469,0.3101
BHT128,NPB,IS,0,-,0,0,0
BHT128,NPB,CG,0.79,Mop/s,354961927,2090598300,0.1698
BHT128,NPB,MG,1.08,Mop/s,33893751,173797303,0.1950
BHT128,NPB,FT,1.21,Mop/s,585484294,3637561056,0.1610
BHT128,NPB,BT,2.18,Mop/s,548784591,2597233744,0.2113
BHT128,NPB,SP,1.23,Mop/s,356514099,1939741355,0.1838
BHT128,NPB,LU,2.93,Mop/s,200124295,864041476,0.2316
BHT128,UnixBench,Arithmetic_Overhead,22771634,lps,96837503,247479125,0.3913
BHT128,UnixBench,Arithmetic_Register,661227,lps,141314608,247361911,0.5713
BHT128,UnixBench,Arithmetic_Short,661427,lps,141363706,247353754,0.5715
BHT128,UnixBench,Arithmetic_Int,662409,lps,141537766,247498751,0.5719
BHT128,UnixBench,Dhrystone,264470,lps,82845872,183965951,0.4503
BHT128,UnixBench,Arithmetic_Double,662731,lps,141611858,247537381,0.5721
BHT128,UnixBench,Whetstone,21.061,MWIPS,113912801,257716246,0.4420
BHT128,UnixBench,Syscall_Mix,23457,lps,44604144,247295480,0.1804
BHT128,UnixBench,Syscall_GetPID,211094,lps,57046119,244476971,0.2333
BHT128,UnixBench,Syscall_Exec,20,lps,2458162,20275934,0.1212
BHT128,UnixBench,Pipe_Throughput,9326,lps,36309675,247667032,0.1466
BHT128,UnixBench,Context_Switching,916,lps,14176746,120812559,0.1173
BHT16384,NPB,EP,0.12,Mop/s,2083037351,6680110704,0.3118
BHT16384,NPB,IS,0,-,0,0,0
BHT16384,NPB,CG,0.79,Mop/s,354902853,2085253111,0.1702
BHT16384,NPB,MG,1.09,Mop/s,33891893,173389007,0.1955
BHT16384,NPB,FT,1.21,Mop/s,584974930,3616568495,0.1617
BHT16384,NPB,BT,2.19,Mop/s,548334782,2580451733,0.2125
BHT16384,NPB,SP,1.24,Mop/s,356093187,1927781311,0.1847
BHT16384,NPB,LU,2.96,Mop/s,199890485,856091525,0.2335
BHT16384,UnixBench,Arithmetic_Overhead,22988849,lps,97686451,248025039,0.3939
BHT16384,UnixBench,Arithmetic_Register,668487,lps,142789341,247791198,0.5762
BHT16384,UnixBench,Arithmetic_Short,667970,lps,142675787,247785388,0.5758
BHT16384,UnixBench,Arithmetic_Int,668660,lps,142810663,247806208,0.5763
BHT16384,UnixBench,Dhrystone,271928,lps,85082797,186992354,0.4550
BHT16384,UnixBench,Arithmetic_Double,669241,lps,142927462,248017066,0.5763
BHT16384,UnixBench,Whetstone,21.274,MWIPS,113833502,255611517,0.4453
BHT16384,UnixBench,Syscall_Mix,24512,lps,46336581,247680636,0.1871
BHT16384,UnixBench,Syscall_GetPID,220232,lps,59182014,246307011,0.2403
