config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
BTB128,4k,4k,NPB,EP,0.12,Mop/s,2091362975,7025577745,0.2977
BTB128,4k,4k,NPB,IS,0.46,Mop/s,7563580,35399154,0.2137
BTB128,4k,4k,NPB,CG,0.78,Mop/s,355826779,2120425552,0.1678
BTB128,4k,4k,NPB,MG,1.08,Mop/s,33914577,175028416,0.1938
BTB128,4k,4k,NPB,FT,1.20,Mop/s,586464415,3666656937,0.1599
BTB128,4k,4k,NPB,BT,2.16,Mop/s,549476505,2616753824,0.2100
BTB128,4k,4k,NPB,SP,1.22,Mop/s,357197771,1966886912,0.1816
BTB128,4k,4k,NPB,LU,2.91,Mop/s,200261351,868540968,0.2306
BTB128,4k,4k,UnixBench,Arithmetic_Overhead,22629394,lps,96286183,247305481,0.3893
BTB128,4k,4k,UnixBench,Arithmetic_Register,659939,lps,141052841,247422000,0.5701
BTB128,4k,4k,UnixBench,Arithmetic_Short,659122,lps,140870505,247523771,0.5691
BTB128,4k,4k,UnixBench,Arithmetic_Int,660078,lps,141078732,247458214,0.5701
BTB128,4k,4k,UnixBench,Dhrystone,260166,lps,81484015,181598459,0.4487
BTB128,4k,4k,UnixBench,Arithmetic_Double,658952,lps,140850376,247250469,0.5697
BTB128,4k,4k,UnixBench,Whetstone,19.500,MWIPS,103478821,251371581,0.4117
BTB128,4k,4k,UnixBench,Syscall_Mix,22822,lps,43566975,247196565,0.1762
BTB128,4k,4k,UnixBench,Syscall_GetPID,213470,lps,57619913,245338970,0.2349
BTB128,4k,4k,UnixBench,Syscall_Exec,20,lps,2574762,21603557,0.1192
BTB128,4k,4k,UnixBench,Pipe_Throughput,8946,lps,35083632,247629068,0.1417
BTB128,4k,4k,UnixBench,Context_Switching,878,lps,14172221,121176903,0.1170
BTB16,4k,4k,NPB,EP,0.12,Mop/s,2091584106,7036120147,0.2973
BTB16,4k,4k,NPB,IS,0.46,Mop/s,7563181,35212223,0.2148
BTB16,4k,4k,NPB,CG,0.78,Mop/s,355698476,2114609471,0.1682
BTB16,4k,4k,NPB,MG,1.07,Mop/s,33940989,175472558,0.1934
BTB16,4k,4k,NPB,FT,1.20,Mop/s,586530575,3667899990,0.1599
BTB16,4k,4k,NPB,BT,2.16,Mop/s,549545863,2619367463,0.2098
BTB16,4k,4k,NPB,SP,1.21,Mop/s,357386206,1974144352,0.1810
BTB16,4k,4k,NPB,LU,2.91,Mop/s,200274061,869007272,0.2305
BTB16,4k,4k,UnixBench,Arithmetic_Overhead,22604623,lps,96177219,247356497,0.3888
BTB16,4k,4k,UnixBench,Arithmetic_Register,657768,lps,140603481,247429588,0.5683
BTB16,4k,4k,UnixBench,Arithmetic_Short,659432,lps,140924358,247594585,0.5692
BTB16,4k,4k,UnixBench,Arithmetic_Int,657687,lps,140591530,247357568,0.5684
BTB16,4k,4k,UnixBench,Dhrystone,259545,lps,81321680,181681039,0.4476
BTB16,4k,4k,UnixBench,Arithmetic_Double,658938,lps,140829248,247475132,0.5691
BTB16,4k,4k,UnixBench,Whetstone,19.471,MWIPS,103502087,251786537,0.4111
BTB16,4k,4k,UnixBench,Syscall_Mix,22202,lps,42538037,247303208,0.1720
BTB16,4k,4k,UnixBench,Syscall_GetPID,209219,lps,56577409,245234113,0.2307
BTB16,4k,4k,UnixBench,Syscall_Exec,20,lps,2533801,21249468,0.1192
BTB16,4k,4k,UnixBench,Pipe_Throughput,9035,lps,35383197,247511653,0.1430
BTB16,4k,4k,UnixBench,Context_Switching,849,lps,14159581,120883999,0.1171
BTB256,4k,4k,NPB,EP,0.12,Mop/s,2091157230,7018425965,0.2980
BTB256,4k,4k,NPB,IS,0.46,Mop/s,7544009,34965125,0.2158
BTB256,4k,4k,NPB,CG,0.78,Mop/s,355547921,2109145047,0.1686
BTB256,4k,4k,NPB,MG,1.07,Mop/s,33942319,175301817,0.1936
BTB256,4k,4k,NPB,FT,1.20,Mop/s,586268629,3657117144,0.1603
