config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
IC16k_DC16k,16k,16k,NPB,EP,0.13,Mop/s,2075480088,6352516220,0.3267
IC16k_DC16k,16k,16k,NPB,IS,0,-,0,0,0
IC16k_DC16k,16k,16k,NPB,CG,1.01,Mop/s,344607857,1634682169,0.2108
IC16k_DC16k,16k,16k,NPB,MG,1.36,Mop/s,33093091,138878255,0.2383
IC16k_DC16k,16k,16k,NPB,FT,1.42,Mop/s,573089990,3092375239,0.1853
IC16k_DC16k,16k,16k,NPB,BT,2.45,Mop/s,542313786,2312145019,0.2346
IC16k_DC16k,16k,16k,NPB,SP,1.47,Mop/s,349293306,1627762769,0.2146
IC16k_DC16k,16k,16k,NPB,LU,3.44,Mop/s,197095917,736636762,0.2676
IC16k_DC16k,16k,16k,UnixBench,Arithmetic_Overhead,24791689,lps,104950446,248182842,0.4229
IC16k_DC16k,16k,16k,UnixBench,Arithmetic_Register,721378,lps,153623835,248244345,0.6188
IC16k_DC16k,16k,16k,UnixBench,Arithmetic_Short,721747,lps,153736731,248217371,0.6194
IC16k_DC16k,16k,16k,UnixBench,Arithmetic_Int,721351,lps,153622549,248124126,0.6191
IC16k_DC16k,16k,16k,UnixBench,Dhrystone,302302,lps,94213459,190870196,0.4936
IC16k_DC16k,16k,16k,UnixBench,Arithmetic_Double,721748,lps,153711494,248334632,0.6190
IC16k_DC16k,16k,16k,UnixBench,Whetstone,21.551,MWIPS,113782269,252056971,0.4514
IC16k_DC16k,16k,16k,UnixBench,Syscall_Mix,29058,lps,53869228,247877994,0.2173
IC16k_DC16k,16k,16k,UnixBench,Syscall_GetPID,224116,lps,60186521,246669180,0.2440
IC16k_DC16k,16k,16k,UnixBench,Syscall_Exec,26,lps,2829699,19563310,0.1446
IC16k_DC16k,16k,16k,UnixBench,Pipe_Throughput,16620,lps,59737798,247879660,0.2410
IC16k_DC16k,16k,16k,UnixBench,Context_Switching,1553,lps,19087667,115144221,0.1658
IC2k_DC2k,2k,2k,NPB,EP,0.11,Mop/s,2100929139,7431524420,0.2827
IC2k_DC2k,2k,2k,NPB,IS,0.39,Mop/s,7700664,41723492,0.1846
IC2k_DC2k,2k,2k,NPB,CG,0.70,Mop/s,361206189,2347544125,0.1539
IC2k_DC2k,2k,2k,NPB,MG,0.87,Mop/s,34876326,214923880,0.1623
IC2k_DC2k,2k,2k,NPB,FT,1.13,Mop/s,591304635,3867761590,0.1529
IC2k_DC2k,2k,2k,NPB,BT,1.82,Mop/s,560829380,3104484414,0.1807
IC2k_DC2k,2k,2k,NPB,SP,1.03,Mop/s,365706330,2328308256,0.1571
IC2k_DC2k,2k,2k,NPB,LU,2.17,Mop/s,207103648,1166167523,0.1776
IC2k_DC2k,2k,2k,UnixBench,Arithmetic_Overhead,21583981,lps,92076322,247380503,0.3722
IC2k_DC2k,2k,2k,UnixBench,Arithmetic_Register,626821,lps,134256853,247127886,0.5433
IC2k_DC2k,2k,2k,UnixBench,Arithmetic_Short,628210,lps,134526140,247378331,0.5438
