Bitstream,NPB_File,UnixBench_File
ariane_IC128k_4w_128L_DC128k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC128k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,SHELL_FAIL,SHELL_FAIL
ariane_IC16k_4w_128L_DC16k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260213_222233.txt,unixbench_20260213_223815.txt
ariane_IC16k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260213_225231.txt,unixbench_20260213_230917.txt
ariane_IC256k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,SHELL_FAIL,SHELL_FAIL
ariane_IC2k_4w_128L_DC2k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260213_234118.txt,unixbench_20260214_000106.txt
ariane_IC2k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_001619.txt,unixbench_20260214_003502.txt
ariane_IC32k_4w_128L_DC32k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC32k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,SHELL_FAIL,SHELL_FAIL
ariane_IC4k_16w_128L_DC4k_16w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_012729.txt,unixbench_20260214_014529.txt
ariane_IC4k_1w_128L_DC4k_1w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_020142.txt,unixbench_20260214_022818.txt
ariane_IC4k_2w_128L_DC4k_2w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_024424.txt,unixbench_20260214_030238.txt
ariane_IC4k_4w_128L_DC128k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC4k_4w_128L_DC16k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_033800.txt,unixbench_20260214_035449.txt
ariane_IC4k_4w_128L_DC256k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC4k_4w_128L_DC2k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_043010.txt,unixbench_20260214_044859.txt
ariane_IC4k_4w_128L_DC32k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB1024_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_052437.txt,unixbench_20260214_054238.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB128_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_055740.txt,unixbench_20260214_061537.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16384_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_063032.txt,unixbench_20260214_064834.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT1024_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_070331.txt,unixbench_20260214_072105.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT128_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_073601.txt,unixbench_20260214_075346.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT16384_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_080834.txt,unixbench_20260214_082600.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_084041.txt,unixbench_20260214_085839.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT2048_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_091329.txt,unixbench_20260214_093101.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT256_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_094551.txt,unixbench_20260214_100323.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT32_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_101811.txt,unixbench_20260214_103552.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT4096_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_105038.txt,unixbench_20260214_110804.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT512_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_112254.txt,unixbench_20260214_114021.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT64_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_115505.txt,unixbench_20260214_121248.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB16_BHT8192_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_122736.txt,unixbench_20260214_124509.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB2048_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_130002.txt,unixbench_20260214_131757.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB256_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_133251.txt,unixbench_20260214_135055.txt
